pair,recession,b1,leak_frac,leak_frac_null,leak_frac_excess,leak_observed,leak_ipf_null,leak_excess,delta_norm,off_mass,frobenius,leontief
1997-1998,False,86,0.09688886812063655,0.07898595848214086,0.01790290963849568,0.012382818738042992,0.00643308889268012,0.005949729845362872,0.12780434923261894,0.0,0.0714454904522417,0.02206747500305301
1998-1999,False,96,0.10408784536176297,0.09656134957572976,0.007526495786033205,0.014555320980797998,0.00847455449872697,0.0060807664820710285,0.1398368938295359,0.0,0.08799018466052112,0.018834145943412362
1999-2000,False,87,0.04724486431491653,0.07991185384167476,-0.032666989526758235,0.011086604207842654,0.009325989219203124,0.0017606149886395302,0.2346626319835213,0.0,0.09152450609413386,0.02371065739867394
2000-2001,True,88,0.09501132761852683,0.08884438940987419,0.0061669382086526475,0.017218758745470363,0.006954039471524413,0.010264719273945951,0.1812284827194939,0.0,0.08737790658458403,0.027468897058454615
2001-2002,False,88,0.10524439228383485,0.085940986828631,0.019303405455203856,0.01672172770463034,0.007661990654774992,0.009059737049855347,0.15888473810113618,0.0,0.08671059484899395,0.02754625216772911
2002-2003,False,91,0.0883386597498866,0.07216534527256124,0.016173314477325354,0.012142319332830668,0.005872362326402219,0.0062699570064284485,0.13745193064066444,0.0,0.08048596733318653,0.01661017334479089
2003-2004,False,90,0.118399953799293,0.12493861379059557,-0.00653865999130257,0.016273147789953923,0.01267892804523233,0.0035942197447215926,0.1374421802354715,0.0,0.0811364535023885,0.019094046793391693
2004-2005,False,83,0.10482694291860267,0.09452210411436524,0.010304838804237437,0.015208487849987148,0.010738727144043574,0.004469760705943574,0.14508185993553607,0.0,0.08976053341866791,0.0192043773540701
2005-2006,False,77,0.10062804720804275,0.12681195254595581,-0.026183905337913066,0.010948226409232353,0.009513715026423042,0.0014345113828093115,0.10879895529123725,0.0,0.061792184857057814,0.015501748434621985
2006-2007,False,78,0.09476770579894873,0.11912016531595938,-0.02435245951701065,0.013330404543336744,0.008424469248326244,0.0049059352950105006,0.14066399973443927,0.0,0.06623186753127981,0.021338487218456402
2007-2008,True,83,0.061938553581244345,0.11189798116518665,-0.049959427583942305,0.014284049443197357,0.010392084311623995,0.0038919651315733623,0.23061645158473185,0.0,0.08250123284484841,0.021290401759368856
2008-2009,True,102,0.11895263229346427,0.08536697506429416,0.033585657229170104,0.023844506577411217,0.011448227517367883,0.012396279060043335,0.20045379507521272,0.0,0.11063199578239911,0.033656187577407834
2009-2010,False,112,0.15484602450882004,0.1112868991019536,0.043559125406866434,0.021148438378455443,0.01092158364055145,0.010226854737903992,0.1365772123988293,0.0,0.0693774732231086,0.020807472519669454
2010-2011,False,114,0.043431033822523044,0.09205579449435775,-0.0486247606718347,0.010755759618396659,0.007734764691781477,0.003020994926615182,0.24765147572468776,0.0,0.051295586572967115,0.025149456892457435
2011-2012,False,123,0.11335339783213157,0.14911752779046383,-0.035764129958332266,0.014765132174206379,0.007313260192105095,0.007451871982101284,0.1302575172565405,0.0,0.03739635143614045,0.017620369794537738
2012-2013,False,92,0.13200979052533454,0.09810171605267948,0.033908074472655064,0.013808434734103777,0.004837845177845463,0.008970589556258315,0.1046015956782671,0.0,0.04433095399417782,0.013711218242038314
2013-2014,False,102,0.12232765247980801,0.09473853041570923,0.027589122064098776,0.012657441327122725,0.005205728939954751,0.007451712387167974,0.103471627800689,0.0,0.044196607679476134,0.013443079264128528
2014-2015,False,100,0.12857564563075474,0.07424484867826155,0.054330796952493196,0.015879257741880873,0.007317521764043714,0.00856173597783716,0.12350128723042264,0.0,0.06052767628120379,0.025278050855650915
2015-2016,False,135,0.14186267780714662,0.18467094025865766,-0.04280826245151104,0.020696723358237284,0.011375418334746644,0.00932130502349064,0.1458926595645768,0.0,0.05012910761629097,0.014564146599448088
2016-2017,False,145,0.1639473743191726,0.10792108433985093,0.056026289979321686,0.02144043576408187,0.006942516315999646,0.014497919448082226,0.1307763290087321,0.0,0.04426278100212827,0.015676522055100922
2017-2018,False,134,0.11000791985883385,0.10834277497081582,0.0016651448880180275,0.011358945225987634,0.007923834331645698,0.0034351108943419355,0.10325570413988235,0.0,0.05223944954937982,0.013040193914777565
2018-2019,False,108,0.1810901192606896,0.13025067076757119,0.050839448493118417,0.016350295838833954,0.006700502377595748,0.009649793461238208,0.09028817201946158,0.0,0.04758265608624069,0.015056558708603217
2019-2020,True,104,0.12841462532855158,0.09964284651965254,0.028771778808899043,0.029724962036045032,0.012623794243410098,0.017101167792634934,0.23147645340235257,0.0,0.09762972966635425,0.024413927237323697
2020-2021,False,137,0.11970604375726783,0.12090684078851847,-0.0012007970312506444,0.032802670818265905,0.021369057188046756,0.01143361363021915,0.27402685602726157,0.0,0.17799598192555266,0.02165331776324322
2021-2022,False,166,0.1071848477988942,0.09398694327787967,0.013197904521014533,0.021413542237077195,0.013939572286835886,0.00747396995024131,0.19978143064824236,0.0,0.1534934386072328,0.02005866650612847
2022-2023,False,161,0.12465719859484221,0.10584732592812289,0.018809872666719324,0.015413208247327125,0.009457569215652944,0.005955639031674181,0.12364475073295011,0.0,0.08843949834686876,0.017227826633558516
2023-2024,False,184,0.15532919665337575,0.16089011465681596,-0.005560918003440218,0.013903462196581102,0.010668478058958904,0.003234984137622198,0.08950965109030544,0.0,0.0648734409510776,0.01042593965250611
