pair,recession,b1,leak_frac,leak_frac_null,leak_frac_excess,leak_observed,leak_ipf_null,leak_excess,delta_norm,off_mass,frobenius,leontief
1997-1998,False,86,0.01754934215354198,0.011417425365700843,0.006131916787841137,0.001219756524838899,0.0006464763272796386,0.0005732801975592603,0.06950440159904887,0.0,0.0714454904522417,0.02206747500305301
1998-1999,False,96,0.017790155844602272,0.01065590011071677,0.007134255733885502,0.0015840748427171142,0.0008290056631292783,0.0007550691795878358,0.08904221281443918,0.0,0.08799018466052112,0.018834145943412362
1999-2000,False,87,0.009994430854996676,0.012592033460690114,-0.0025976026056934373,0.0009109094777168184,0.0009444322717592411,-3.3522794042422765e-05,0.09114170590928775,0.0,0.09152450609413386,0.02371065739867394
2000-2001,True,88,0.01947869876648414,0.011122331682651053,0.008356367083833086,0.00182616816925763,0.0007588349145311588,0.0010673332547264712,0.09375206173421662,0.0,0.08737790658458403,0.027468897058454615
2001-2002,False,88,0.020548193372195676,0.009937059492834023,0.010611133879361653,0.0019213896782390115,0.000739330892053673,0.0011820587861853386,0.09350650168782705,0.0,0.08671059484899395,0.02754625216772911
2002-2003,False,91,0.018203684915173077,0.010872287673017225,0.007331397242155853,0.0015378364504211287,0.0007345356474371293,0.0008033008029839993,0.08447940390021343,0.0,0.08048596733318653,0.01661017334479089
2003-2004,False,90,0.021385842270441824,0.017047910750465,0.004337931519976825,0.001653847043303271,0.0013141186665506447,0.00033972837675262635,0.07733373427097212,0.0,0.0811364535023885,0.019094046793391693
2004-2005,False,83,0.011593154172676486,0.010044878878521953,0.0015482752941545323,0.0010602186256679254,0.000830974026993849,0.00022924459867407633,0.09145212854726964,0.0,0.08976053341866791,0.0192043773540701
2005-2006,False,77,0.018338095374958927,0.017627188535990768,0.0007109068389681596,0.0011139988114355255,0.0010593127947062426,5.468601672928286e-05,0.06074779243196189,0.0,0.061792184857057814,0.015501748434621985
2006-2007,False,78,0.01867325275296423,0.021645065088035792,-0.0029718123350715615,0.0013372233285651794,0.0011646549763437636,0.00017256835222141578,0.07161169755777584,0.0,0.06623186753127981,0.021338487218456402
2007-2008,True,83,0.013920736361554184,0.018350788271422083,-0.004430051909867899,0.0011869375281241678,0.0011726582443197064,1.427928380446134e-05,0.08526399015803586,0.0,0.08250123284484841,0.021290401759368856
2008-2009,True,102,0.027080625371319285,0.016865123450084053,0.010215501921235232,0.0028985116834389472,0.0011569162329770272,0.00174159545046192,0.10703267164977368,0.0,0.11063199578239911,0.033656187577407834
2009-2010,False,112,0.02413161932759336,0.017585134170506986,0.006546485157086373,0.0015304618818487077,0.0011147171011673747,0.00041574478068133296,0.06342143314430199,0.0,0.0693774732231086,0.020807472519669454
2010-2011,False,114,0.018464746808304268,0.018541518937229825,-7.677212892555699e-05,0.0008821781697687317,0.0008249315894117101,5.724658035702161e-05,0.04777634802834037,0.0,0.051295586572967115,0.025149456892457435
2011-2012,False,123,0.05038801555934045,0.030255256577771502,0.020132758981568948,0.0018541453129343292,0.0008129606434673719,0.0010411846694669573,0.036797347392074964,0.0,0.03739635143614045,0.017620369794537738
2012-2013,False,92,0.04136382288089673,0.015816762040952115,0.025547060839944617,0.001804823530700832,0.0005230327353790121,0.0012817907953218198,0.04363289959677211,0.0,0.04433095399417782,0.013711218242038314
2013-2014,False,102,0.03771296069461406,0.015029251734880374,0.022683708959733685,0.0015322425149835635,0.0004732080663244075,0.001059034448659156,0.04062906986781309,0.0,0.044196607679476134,0.013443079264128528
2014-2015,False,100,0.038537910681526046,0.01376431241505926,0.024773598266466787,0.002084411018069985,0.000717528508046844,0.0013668825100231412,0.05408728654999948,0.0,0.06052767628120379,0.025278050855650915
2015-2016,False,135,0.052807120683802736,0.02579704186589567,0.027010078817907065,0.0025957551023873286,0.0009646317602325941,0.0016311233421547346,0.04915539928658733,0.0,0.05012910761629097,0.014564146599448088
2016-2017,False,145,0.07146602633683241,0.017904577376719615,0.05356144896011279,0.002963619329832517,0.0007049346770119138,0.002258684652820603,0.04146892561039337,0.0,0.04426278100212827,0.015676522055100922
2017-2018,False,134,0.021379600060964683,0.018822400641546968,0.0025571994194177154,0.001119044858889232,0.0009818080051606035,0.00013723685372862837,0.05234171152398716,0.0,0.05223944954937982,0.013040193914777565
2018-2019,False,108,0.04890412272073796,0.022135450791971146,0.02676867192876681,0.0023611683313368844,0.0010211656145515124,0.001340002716785372,0.04828158036532211,0.0,0.04758265608624069,0.015056558708603217
2019-2020,True,104,0.033419812573836,0.021469225442346522,0.011950587131489478,0.0035713371945941576,0.0020018605907456866,0.001569476603848471,0.10686287323436751,0.0,0.09762972966635425,0.024413927237323697
2020-2021,False,137,0.020665774540205895,0.01537761622012477,0.005288158320081126,0.004011307961203943,0.002099561860636364,0.0019117461005675792,0.19410392547348376,0.0,0.17799598192555266,0.02165331776324322
2021-2022,False,166,0.017639106401981533,0.01203413900979512,0.0056049673921864124,0.0029595012059185615,0.001835732921460874,0.0011237682844576875,0.16778067655321238,0.0,0.1534934386072328,0.02005866650612847
2022-2023,False,161,0.02158058588808236,0.01452888558715804,0.007051700300924321,0.0019832242963625075,0.0011685993619948976,0.0008146249343676099,0.09189853818833163,0.0,0.08843949834686876,0.017227826633558516
2023-2024,False,184,0.021011018420418585,0.02149643818890143,-0.00048541976848284416,0.0013790873615630976,0.0013501941779747722,2.889318358832542e-05,0.06563638820205381,0.0,0.0648734409510776,0.01042593965250611
